Material,Qty per HU
31669348,50
31452551,375
31452552,375
32298714,24
31493389,20
31480325,2
32382249,11
31401241,1844
31401184,162
32298904,13
32298902,13
32402256,270
31480337,270
31460613,128
31493092,32
32397058,20
32397081,20
32290169,20
32397266,40
985133,2250
32140176,84
1298598,900
1298600,900
1298602,900
31368036,55
9443031,8438
31401947,544
32249177,300
32242805,480
31460420,650
30746514,131
986077,1875
986075,1875
986034,1688
30746529,1500
31401240,1500
31401742,1500
32213502,1200
32213503,1200
32257124,94
31401339,648
32339084,864
32249183,1728
31316245,1728
32138768,650
32138769,650
32382821,2
32257802,3
31493366,2
32267911,8
32312069,5
31320541,80
32202461,60
31359414,9
32255064,96
31430880,152
32267625,675
32298317,2250
31493255,96
32242452,12
32361312,1
30624600,420
32208968,36
30746591,3375
30640713,1400
32380012,9
30746729,250
31480996,4
32208990,180
31480235,144
31401663,1088
32138979,1125
32213816,775
985645,4500
32240058,40
32249217,12
31460263,160
31460293,72
32267510,2250
31359993,2250
31410233,2250
32290190,24
3322,0
3744,0
32208969,18
31316395,288
32140027,35
31430724,132
32213652,216
31480435,384
31368879,375
31460662,563
32249692,375
32298500,23
31670206,60
31336716,225
32249269,144
32298310,200
32290466,240
32139440,281
30746527,1875
30624475,1125
32235002,600
30668640,1026
30670546,1350
30640696,1375
32232813,2
32213460,5
31480753,250
32137525,440
32213769,500
31480634,1045
31460944,2250
31480884,1688
32298901,13
32335620,23
31669129,12
32335621,23
32138710,2
32298903,13
31316438,2850
32137470,61
32298621,61
32298287,108
31460246,132
31480478,46
32224651,64
31321050,140
31430929,48
32257808,6
32138711,11
31430611,200
31460297,140
31493570,432
32240561,288
31316041,300
32222463,27
32335240,120
32298499,23
32298514,24
31459811,60
32249270,16
32140082,60
30624532,60
982819,469
982758,4500
32240065,12
986387,2250
985135,1925
30746710,1900
32361535,7
32276984,200
32222712,432
31460664,300
32267556,8
31368821,25
31460910,14
31375103,466
3117,0
32208970,252
32257974,9
31316599,2000
31480279,132
32255219,96
32397484,6
32146139,500
31452707,72
31452709,72
31368809,9
31493966,252
32140110,80
32380079,48
31401775,296
3694,0
32208971,450
32137469,61
32298620,61
32137487,24
30746695,1688
31452763,900
32137342,3
31460658,3
31330110,2875
31670102,720
32330596,105
31368630,160
32140070,24
32140069,72
32140083,60
1256394,2250
1366129,4500
30746536,675
32290189,563
32298641,938
1397500,2250
30670623,750
32267529,5625
30746704,938
30624306,1125
32298528,400
32402278,16
3783,0
3433,0
