Material,Qty per HU
986034,422
30746529,375
31401240,375
31401742,375
32213502,300
32213503,300
32257124,24
31401339,162
32339084,216
32249183,432
31316245,432
32138768,163
32138769,163
32382821,1
32257802,1
31493366,1
32267911,2
32312069,2
31320541,20
32202461,15
31359414,3
32255064,24
31430880,38
32267625,169
32298317,563
31493255,24
32242452,3
32361312,1
30624600,105
32208968,9
30746591,844
30640713,350
32380012,3
30746729,63
31480996,1
32208990,45
31480235,36
31401663,272
32138979,282
32213816,194
985645,1125
32240058,10
32249217,3
31460263,40
31460293,18
32267510,563
31359993,563
31410233,563
32290190,6
32208969,5
31316395,72
32140027,9
31430724,33
32213652,54
31480435,96
31368879,94
31460662,141
32249692,94
32298500,6
31670206,15
31336716,57
32249269,36
32298310,50
32290466,60
32139440,71
30746527,469
30624475,282
32235002,150
30668640,257
30670546,338
30640696,344
32232813,1
32213460,2
31480753,63
32137525,110
32213769,125
31480634,262
31460944,563
31480884,422
32298901,4
32335620,6
31669129,3
32335621,6
32138710,1
32298903,4
31316438,713
32137470,16
32298621,16
32298287,27
31460246,33
31480478,12
32224651,16
31321050,35
31430929,12
32257808,2
32138711,3
31430611,50
31460297,35
31493570,108
32240561,72
31316041,75
32222463,7
32335240,30
32298499,6
32298514,6
31459811,15
32249270,4
32140082,15
30624532,15
982819,118
982758,1125
32240065,3
986387,563
985135,482
30746710,475
32361535,2
32276984,50
32222712,108
31460664,75
32267556,2
31368821,7
31460910,4
31375103,117
32208970,63
32257974,3
31316599,500
31480279,33
32255219,24
32397484,2
32146139,125
31452707,18
31452709,18
31368809,3
31493966,63
32140110,20
32380079,12
31401775,74
32208971,113
32137469,16
32298620,16
32137487,6
30746695,422
31452763,225
32137342,1
31460658,1
31330110,719
31670102,180
32330596,27
31368630,40
32140070,6
32140069,18
32140083,15
1256394,563
1366129,1125
30746536,169
32290189,141
32298641,235
1397500,563
30670623,188
32267529,1407
30746704,235
30624306,282
32298528,100
32402278,4
