B9401.KOLLIUTS,B9401.KOLLINR,B9401.SKAPDAT,B9401.SKAPTIM,B9401.FRDPLATS,B9403.ARTNR,B9401.EMBTYP,B9403.ARTANT,B9403.PACKNR
AECGH,359961388,20230530,150141,6-H-5-7-I,32292907,L4,18,
AECGH,359961389,20230530,162240,3-H-26-11-I,32292907,L4,18,
AECGH,359961390,20230530,161504,6-V-29-12-I,32292907,L4,18,
AECGH,359970349,20230530,224821,4-V-45-1-I,32292907,L4,18,
AECGH,359970350,20230530,222403,4-H-30-12-I,32292907,L4,18,
AECGH,359970351,20230530,224716,6-H-15-14-I,32292907,L4,18,
AECGH,359970352,20230530,224706,3-V-35-12-I,32292907,L4,18,
AECGH,359970353,20230530,212922,5-V-28-7-I,32292907,L4,18,
AECGH,359970354,20230530,224846,2-V-12-10-I,32292907,L4,18,
AECGH,359970355,20230530,142709,3-V-14-10-I,32292907,L4,18,
AECGH,359970356,20230530,224752,3-H-38-1-I,32292907,L4,18,
AECGH,359970357,20230530,161935,4-H-31-9-I,32292907,L4,18,
AECGH,359970358,20230530,161726,2-H-18-13-I,32292907,L4,18,
AECGH,359970359,20230530,161702,2-V-18-12-I,32292907,L4,18,
AECGH,359970360,20230530,160957,5-V-13-7-I,32292907,L4,18,
AECGH,359970361,20230530,161904,1-V-19-3-I,32292907,L4,18,
AECGH,359970362,20230530,161534,2-H-18-2-I,32292907,L4,18,
AECGH,359970363,20230530,162224,4-V-31-9-I,32292907,L4,18,
AECGH,360001688,20230530,165314,1-V-12-2-I,32252604,L4,120,
AECGH,360001690,20230530,123249,3-V-21-4-I,32252604,L3,120,
AECGH,360001691,20230530,122021,5-H-19-13-I,32252604,L3,120,
AECGH,360001692,20230530,163652,5-H-20-11-I,32252604,L4,120,
AECGH,360001693,20230530,165437,5-V-32-1-I,32252604,L4,120,
AECGH,360001694,20230530,163716,5-V-29-6-I,32252604,L4,120,
AECGH,360023581,20230530,123616,3-V-10-9-I,32252604,L4,120,
AECGH,360023583,20230530,123200,1-H-22-11-I,32252604,L3,120,
AECGH,360023585,20230530,163647,4-V-32-11-I,32252604,L4,120,
AECGH,360023586,20230530,121426,2-H-30-1-I,32252604,L3,120,
AECGH,360029191,20230530,124705,2-V-8-10-I,32252604,L4,120,
AECGH,360029193,20230530,185320,4-H-4-2-I,32252604,L4,120,
AECGH,360029194,20230530,164637,6-H-35-7-I,32252604,L4,120,
AECGH,360029196,20230530,122232,1-H-22-9-I,32252604,L3,120,
AECGH,360047314,20230530,112322,6-H-30-12-I,32252604,L3,120,
AECGH,360047315,20230530,121151,4-H-11-10-I,32252604,L4,120,
AECGH,360047316,20230530,111545,2-V-29-8-I,32252604,L3,120,
AECGH,360047318,20230530,164542,6-V-34-1-I,32252604,L4,120,
AECGH,360049159,20230530,222709,2-V-37-3-I,32292907,L4,18,
AECGH,360049160,20230530,130435,3-V-9-10-I,32292907,L4,18,
AECGH,360049161,20230530,212358,1-H-30-12-I,32292907,L4,18,
AECGH,360049162,20230530,222455,4-V-36-1-I,32292907,L4,18,
AECGH,360049163,20230530,161600,2-H-18-3-I,32292907,L4,18,
AECGH,360049164,20230530,222905,2-V-41-11-I,32292907,L4,18,
AECGH,360049165,20230530,161915,5-H-24-10-I,32292907,L4,18,
AECGH,360049166,20230530,222030,4-H-9-9-I,32292907,L4,18,
AECGH,360049167,20230530,222131,6-H-2-6-I,32292907,L4,18,
AECGH,360049168,20230530,222431,2-H-36-9-I,32292907,L4,18,
AECGH,360049169,20230530,222643,3-V-26-9-I,32292907,L4,18,
AECGH,360049171,20230530,161654,5-V-23-11-I,32292907,L4,18,
AECGH,360049172,20230530,212715,2-V-19-12-I,32292907,L4,18,
AECGH,360054524,20230530,170439,6-V-36-7-I,32252604,L4,120,
AECGH,360054526,20230530,185521,4-V-33-7-I,32252604,L4,120,
AECGH,360054528,20230530,170614,6-V-36-9-I,32252604,L4,120,
AECGH,360063564,20230530,161958,2-H-19-7-I,32292907,L4,18,
AECGH,360063565,20230530,161754,4-V-27-13-I,32292907,L4,18,
AECGH,360063566,20230530,162429,6-V-30-12-I,32292907,L4,18,
AECGH,360063568,20230530,222737,2-V-41-9-I,32292907,L4,18,
AECGH,360067425,20230530,161244,5-V-23-7-I,32292907,L4,18,
AECGH,360070704,20230530,124422,2-V-3-10-I,32252604,L4,120,
AECGH,360070705,20230530,122208,5-V-12-9-I,32252604,L4,120,
AECGH,360070706,20230530,185852,1-V-42-11-I,32252604,L4,120,
AECGH,360070707,20230530,165752,3-V-21-13-I,32252604,L4,120,
AECGH,360070708,20230530,165409,6-H-8-9-I,32252604,L4,120,
AECGH,360075796,20230530,164609,2-V-21-7-I,32252604,L4,120,
AECGH,360075798,20230530,165340,4-V-10-2-I,32252604,L4,120,
AECGH,360075799,20230530,163041,6-H-14-12-I,32252604,L4,120,
AECGH,360075800,20230530,165458,1-H-22-1-I,32252604,L4,120,
AECGH,360085711,20230530,163324,3-H-28-10-I,32252604,L4,120,
AECGH,360085713,20230530,165546,5-V-27-1-I,32252604,L4,120,
AECGH,360085714,20230530,164823,6-V-35-13-I,32252604,L4,120,
AECGH,360085715,20230530,123552,3-H-19-5-I,32252604,L3,120,
AECGH,360085716,20230530,190108,1-H-42-12-I,32252604,L4,120,
AECGH,360085717,20230530,123527,5-H-26-3-I,32252604,L3,120,
AECGH,360090638,20230530,163402,4-V-32-9-I,32252604,L4,120,
AECGH,360090640,20230530,163917,6-V-16-6-I,32252604,L4,120,
AECGH,360090642,20230530,164926,1-V-6-10-I,32252604,L4,120,
AECGH,360090644,20230530,122343,3-V-33-7-I,32252604,L3,120,
AECGH,360090707,20230530,162021,2-V-20-9-I,32292907,L4,18,
AECGH,360090708,20230530,161948,5-V-25-7-I,32292907,L4,18,
AECGH,360090710,20230530,162152,1-V-19-7-I,32292907,L4,18,
AECGH,360090712,20230530,162256,4-H-31-11-I,32292907,L4,18,
AECGH,360090713,20230530,212452,3-V-31-3-I,32292907,L4,18,
AECGH,360098732,20230530,164121,5-H-26-11-I,32252284,L4,120,
AECGH,360098733,20230530,111924,1-V-22-4-I,32252284,L3,120,
AECGH,360098734,20230530,163834,3-V-28-11-I,32252284,L4,120,
AECGH,360098735,20230530,111859,6-V-3-5-I,32252284,L3,120,
AECGH,360100150,20230530,161343,1-V-14-13-I,32292907,L4,18,
AECGH,360100151,20230530,162044,6-H-30-7-I,32292907,L4,18,
AECGH,360100152,20230530,150926,1-V-3-1-I,32292907,L4,18,
AECGH,360100153,20230530,130046,2-V-9-1-I,32292907,L4,18,
AECGH,360100154,20230530,145926,4-H-25-3-I,32292907,L4,18,
AECGH,360100155,20230530,150749,3-V-2-2-I,32292907,L4,18,
AECGH,360100156,20230530,233241,1-V-45-12-I,32292907,L4,18,
AECGH,360100157,20230530,212622,4-V-2-10-I,32292907,L4,18,
AECGH,360100158,20230530,232848,6-V-4-13-I,32292907,L4,18,
AECGH,360100159,20230530,215043,6-V-1-11-I,32292907,L4,18,
AECGH,360100160,20230530,161607,1-H-17-7-I,32292907,L4,18,
AECGH,360100161,20230530,130216,2-H-9-12-I,32292907,L4,18,
AECGH,360101103,20230530,122115,4-H-30-3-I,32252284,L3,120,
AECGH,360105841,20230530,212226,3-V-25-12-I,32292907,L4,18,
AEJUB,10076724,20230530,192528,1-H-10-14-I,31665290,L5,1728,
AEJUB,10076741,20230530,170313,2-H-11-14-I,31665290,L5,1728,
AEYRU,145898035,20230530,150316,5-V-31-6-I,32249431,L3,36,
AEYRU,145898036,20230530,133222,1-H-2-4-I,32249431,L3,36,
AEYRU,146261630,20230530,131657,3-V-23-4-I,32249431,L3,36,
AEYRU,146261631,20230530,132044,4-H-4-5-I,32249431,L3,36,
AEYRU,146261632,20230530,145339,3-V-6-10-I,32249431,L3,36,
AEYRU,146261633,20230530,130546,5-V-28-10-I,32249431,L3,36,
AEYRU,146261634,20230530,131730,1-V-23-4-I,32249431,L3,36,
AEYRU,146261635,20230530,133458,2-V-11-8-I,32249431,L3,36,
AEYRU,146261636,20230530,132438,5-V-28-12-I,32249431,L3,36,
AEYRU,146261637,20230530,132733,4-H-16-13-I,32249431,L3,36,
AEYRU,146263410,20230530,145557,1-H-24-1-I,32249431,L3,36,
AEYRU,146263411,20230530,150014,6-V-30-2-I,32249431,L3,36,
AEYRU,146263412,20230530,150902,1-V-24-8-I,32249431,L3,36,
AEYRU,146263413,20230530,134620,1-H-23-6-I,32249431,L3,36,
AEYRU,146263414,20230530,145523,2-V-32-3-I,32249431,L3,36,
AEYRU,146263415,20230530,131548,2-V-10-4-I,32249431,L3,36,
AEYRU,146263416,20230530,133247,4-H-31-10-I,32249431,L3,36,
AEYRU,146263417,20230530,195034,4-H-35-12-I,32249431,L3,36,
AEYRU,146263418,20230530,134405,4-H-33-7-I,32249431,L3,36,
AEYRU,146263419,20230530,145950,3-H-8-8-I,32249431,L3,36,
AEYRU,146263420,20230530,131104,4-H-31-6-I,32249431,L3,36,
AEYRU,146263421,20230530,150837,5-H-31-8-I,32249431,L3,36,
AEYRU,146266707,20230530,133900,3-H-31-3-I,32249431,L3,36,
AEYRU,146266708,20230530,132528,1-H-23-5-I,32249431,L3,36,
AEYRU,146266709,20230530,132411,4-V-5-8-I,32249431,L3,36,
AEYRU,146266710,20230530,132803,5-V-2-5-I,32249431,L3,36,
AEYRU,146266711,20230530,134516,3-V-21-14-I,32249431,L3,36,
AEYRU,146266712,20230530,134745,4-V-34-6-I,32249431,L3,36,
AEYRU,146266713,20230530,132237,4-H-5-8-I,32249431,L3,36,
AEYRU,146266714,20230530,133831,5-H-30-3-I,32249431,L3,36,
AEYRU,146266715,20230530,131037,6-H-7-7-I,32249431,L3,36,
AEYRU,146266716,20230530,133035,5-V-29-10-I,32249431,L3,36,
AEYRU,146266717,20230530,132303,2-V-26-8-I,32249431,L3,36,
AEYRU,146266718,20230530,150724,1-H-24-8-I,32249431,L3,36,
AEYRU,146428380,20230530,132503,5-V-28-14-I,32249431,L3,36,
AEYRU,146428381,20230530,133010,4-H-19-4-I,32249431,L3,36,
AEYRU,146428382,20230530,133432,5-V-6-5-I,32249431,L3,36,
AEYRU,146428383,20230530,135022,6-V-12-5-I,32249431,L3,36,
AEYRU,146428384,20230530,130610,6-V-4-8-I,32249431,L3,36,
AEYRU,146428385,20230530,134720,5-V-31-1-I,32249431,L3,36,
AEYRU,146428392,20230530,134339,1-H-11-8-I,32249431,L3,36,
AEYRU,146428393,20230530,131628,5-H-28-12-I,32249431,L3,36,
AEYRU,146428398,20230530,164432,3-V-2-8-I,32249431,L3,36,
BQ1LA,100898759,20230530,121121,3-H-23-2-I,30640977,L1,3000,720434
DNHPA,131406027,20230530,140959,1-H-7-4-I,32249178,L3,768,53682791
DNHPA,131406037,20230530,140959,5-H-29-5-I,32249178,L3,768,53682791
DNHPA,131406039,20230530,140959,5-H-3-13-I,32249178,L3,768,53682791
EMLNA,2676685,20230530,122047,6-V-19-14-I,32202336,L5,1600,
33186,64401,20230531,122531,2-V-7-5-I,31491637,L2,3600,
33186,839325,20230531,232741,6-H-22-1-I,1298594,L3,7200,
AD99M,2797616,20230531,135350,6-H-35-6-I,31375832,L3,7680,298480
AD99M,2797617,20230531,135350,2-V-33-8-I,31375843,L2,3840,298480
D07FB,506658029,20230531,123235,2-V-35-11-I,982778,K2,4000,3504109
D07FF,199439386,20230531,94040,4-V-19-9-Y,985868,K1,24000,6274060
33186,64743,20230601,84243,6-H-17-6-I,31336014,K1,7500,
33186,64755,20230601,92433,4-V-44-7-I,31321325,L1,38,
33186,839335,20230601,92337,1-H-14-1-I,32249215,L3,128,
AD6NA,10661013,20230601,80320,4-H-1-10-I,31493387,L4,256,80793924
AD6NA,10661210,20230601,80320,2-V-12-14-I,31493387,L5,256,80793924
AD6NA,10661211,20230601,80320,1-V-43-14-I,31493387,L5,256,80793924
AD6NA,10661212,20230601,80320,4-H-3-14-I,31493387,L5,256,80793924
AD6NA,10661213,20230601,80320,5-H-8-14-I,31493387,L5,256,80793924
AD6NA,10661215,20230601,80320,3-H-35-14-I,31493387,L5,256,80793924
AD6NA,10661216,20230601,80320,2-H-28-14-I,31493387,L5,256,80793924
AD6NA,10661218,20230601,80320,3-H-21-14-I,31493387,L5,256,80793924
AD6NA,10661219,20230601,80321,3-H-24-14-I,31493387,L5,256,80793924
AD6NA,10661220,20230601,80321,3-H-23-14-I,31493387,L5,256,80793924
AD7IC,209158,20230601,122955,4-H-43-2-I,32298419,L1,120,23060101
ELREA,1080808,20230601,124014,2-V-13-13-I,32213518,L3,20,180490
F848B,12148587,20230601,181601,4-V-4-12-I,32298497,L4,1024,962233
AD6HF,204549566,20230602,111727,4-H-2-8-I,31312514,L3,576,573831
AD6HF,204549567,20230602,111727,2-H-31-6-I,31312514,L3,576,573831
AD6HF,204549568,20230602,111727,6-H-25-8-I,31312514,L3,576,573831
AD6HF,204549569,20230602,111727,1-V-22-11-I,31312514,L3,576,573831
AD8BK,204549560,20230602,111726,3-V-34-4-I,31339941,L2,2850,573830
AEAAO,204549551,20230602,111725,1-V-22-3-I,32140068,L3,144,573827
AEAAO,204549553,20230602,111725,5-H-7-11-I,32140068,L3,144,573827
AEAAO,204549554,20230602,111725,4-V-36-11-I,32140068,L3,144,573827
AEAAO,204549556,20230602,111725,1-H-22-2-I,32140068,L3,144,573827
BHD8A,392575608,20230602,152550,2-H-39-1-I,31401195,K3,72,24486742
BZMDB,89612564,20230602,131207,4-H-29-2-Y,30624404,K2,6000,8208471
CHN08,45580903,20230602,53711,3-H-10-6-I,32336993,L3,160,34020782
CHN08,45580904,20230602,53711,5-V-23-2-I,32336994,L3,160,34020782
DNHPA,131503007,20230602,71300,6-H-13-7-I,32249178,L3,768,53692538
GJPWC,204549548,20230602,111724,5-H-5-3-I,31372487,L4,2880,573826
GJPWF,204549119,20230602,111728,4-V-8-3-I,32140074,L4,72,573832
GJPWF,204549120,20230602,111728,5-V-7-14-I,32140074,L5,72,573832
GJPWF,204549121,20230602,111728,6-V-1-14-I,32140074,L5,72,573832
GJPWF,204549122,20230602,111728,6-V-10-2-I,32140074,L4,72,573832
GJPWF,204549123,20230602,111728,6-V-3-10-I,32140074,L4,72,573832
GJPWF,204549124,20230602,111728,2-H-12-14-I,32140074,L5,72,573832
GJPWF,204549125,20230602,111728,5-H-44-12-I,32140074,L4,72,573832
GJPWF,204549126,20230602,111728,1-H-22-14-I,32140074,L5,72,573832
GJPWF,204549127,20230602,111728,5-H-16-10-I,32140074,L4,72,573832
GJPWF,204549128,20230602,111728,4-V-30-14-I,32140074,L5,72,573832
GJPWF,204549129,20230602,111728,2-H-6-11-I,32140074,L4,72,573832
GJPWF,204549130,20230602,111728,3-V-4-13-I,32140074,L4,72,573832
GJPWF,204549131,20230602,111728,1-H-38-14-I,32140074,L5,72,573832
GJPWF,204549132,20230602,111728,6-V-6-12-I,32140074,L4,72,573832
GJPWF,204549133,20230602,111728,4-H-31-14-I,32140074,L5,72,573832
GJPWF,204549134,20230602,111728,5-H-10-1-I,32140074,L4,72,573832
GJPWF,204549135,20230602,111728,4-V-9-13-I,32140074,L4,72,573832
GJPWF,204549137,20230602,111727,6-H-14-14-I,32140076,L5,72,573832
GJPWF,204549139,20230602,111727,5-H-44-7-I,32140076,L4,72,573832
GJPWF,204549140,20230602,111727,4-H-5-2-I,32140076,L4,72,573832
GJPWF,204549141,20230602,111727,3-H-4-13-I,32140076,L4,72,573832
GJPWF,204549142,20230602,111727,5-V-23-10-I,32140076,L4,72,573832
GJPWF,204549143,20230602,111727,2-V-32-1-I,32140076,L4,72,573832
GJPWF,204549144,20230602,111727,5-V-4-14-I,32140076,L5,72,573832
GJPWF,204549145,20230602,111727,3-V-4-14-I,32140076,L5,72,573832
GJPWF,204549146,20230602,111727,4-H-2-14-I,32140076,L5,72,573832
ND04G,204549208,20230602,111739,3-H-34-1-I,31491736,L2,3600,573808
ND04G,204549210,20230602,111739,3-V-34-11-I,31491637,L2,3600,573808
ND04G,204549211,20230602,111739,4-H-36-8-I,31491637,L2,3600,573808
ND04P,204549476,20230602,111739,1-V-45-13-I,31491073,L4,2880,573822
ND04P,204549477,20230602,111739,6-V-3-9-I,31491073,L4,2880,573822
ND04R,204549099,20230602,111739,2-V-19-9-I,32363034,L2,96,573821
ND04R,204549105,20230602,111739,1-V-25-4-I,32363034,L2,96,573821
ND04R,204549106,20230602,111739,3-H-32-13-I,32363034,L2,96,573821
ND04R,204549107,20230602,111739,4-V-31-14-I,32363034,L2,96,573821
ND04R,204549108,20230602,111739,4-V-7-9-I,32363034,L2,96,573821
ND04R,204549109,20230602,111739,6-H-2-7-I,32363034,L2,96,573821
ND04R,204549110,20230602,111739,2-V-7-4-I,32363034,L2,96,573821
D0MND,818733374,20230604,112534,6-V-23-5-I,31293917,L3,96,
33186,65606,20230605,152056,4-V-9-2-I,32249029,L2,2160,
AEENA,85668399,20230605,194238,5-H-14-9-I,986214,K1,30000,2601302
AEK13,2805528,20230605,70734,6-H-6-9-I,32249029,L3,2160,111499
AEK13,2805532,20230605,70734,6-H-11-4-I,32249029,L3,2160,111499
AEK13,2805534,20230605,70734,5-V-22-11-I,32249029,L3,2160,111499
AEK13,2805536,20230605,70734,2-V-18-2-I,32249029,L3,2160,111499
AENKF,37767938,20230605,140751,3-V-34-3-I,31316688,K3,90,80784835
CF331,424029517,20230605,122812,3-V-4-9-I,31405341,L1,90,2711144
CXC6A,85651386,20230605,144751,3-V-33-13-I,986072,K2,48000,1879650
CXC6A,85651405,20230605,144751,4-V-36-13-I,914451,K1,7500,1879650
CXC6A,85651408,20230605,144751,4-H-15-3-I,950542,K1,58000,1879650
D07FB,506694013,20230605,95321,2-V-4-8-I,982778,K2,24000,3505114
DAX3A,135580618,20230605,203508,4-V-22-7-I,32298864,L3,960,80727600
DAX3A,135580619,20230605,203508,5-H-21-5-I,32298864,L3,960,80727600
DAX3A,135580620,20230605,203508,5-H-23-8-I,32298864,L3,960,80727600
AED6G,2808701,20230606,104350,2-V-16-4-I,32249215,L3,136,299673
AED6G,2808702,20230606,104350,UTKTR2,32249215,L3,136,299673
AEENA,85669782,20230606,201724,4-H-25-13-I,30624588,K1,27000,2442221
33186,65812,20230607,103838,6-H-2-10-I,31460969,L1,2640,
33186,65944,20230607,163753,4-V-16-5-I,32249029,L3,2160,
33186,66027,20230607,213505,5-H-8-7-I,30622559,K1,2600,
A426S,29529088,20230607,62638,5-H-22-12-I,30668635,L4,6400,40141811
A426S,29536353,20230607,62639,4-H-14-7-I,30668636,L4,6400,40141810
AEANO,5462345,20230607,161223,3-V-29-14-I,32257702,L1,5400,
AEANO,5462346,20230607,161116,1-V-18-2-I,32257702,L1,5400,
AECGH,360105843,20230607,160230,1-H-1-3-I,32292907,L4,18,
AECGH,360122426,20230607,161738,2-V-17-9-I,32292907,L4,18,
AECGH,360131932,20230607,134054,1-V-13-3-I,32292907,L4,18,
AEU02,10035763,20230607,235713,6-H-9-10-I,1298594,L4,7200,
BPFTC,101169697,20230607,211454,4-H-21-9-I,31368420,K3,120,
CHN08,44012501,20230607,220507,5-H-9-3-I,32135228,L4,80,
CHN08,44032929,20230607,220701,6-V-10-11-I,32135228,L4,80,
CHN08,44075418,20230607,224502,3-V-20-7-I,32135228,L4,80,
CHN08,44153581,20230607,233005,2-V-1-3-I,32135228,L4,80,
CHN08,44156771,20230607,225922,1-H-1-9-I,32135228,L4,80,
CHN08,44232066,20230607,220247,1-H-24-6-I,32135228,L4,80,
CRKRA,225338234,20230607,101629,2-H-4-5-I,30670624,K1,3000,1135697
D07FB,506729221,20230607,124800,2-H-38-3-Y,982776,K1,15000,3506030
D07FF,199478416,20230607,103652,3-H-13-5-Y,988935,K1,9000,6275630
D19CA,505322956,20230607,82112,6-H-4-9-I,31460340,L3,1680,85476531
DAX3A,804931140,20230607,105753,4-H-22-1-I,32298864,L3,960,
E623E,111006954,20230607,213920,3-V-16-4-Y,9454613,K2,400000,
33186,66211,20230608,73300,3-H-22-8-I,32252284,L3,120,
33186,66214,20230608,74035,4-H-14-11-I,32252604,L3,120,
33186,66218,20230608,74930,3-V-24-8-I,32252604,L3,120,
33186,66221,20230608,75158,1-H-15-6-I,32252604,L3,120,
33186,66231,20230608,75500,6-V-14-8-I,32252604,L3,120,
33186,66233,20230608,80014,6-H-16-7-I,32252604,L3,120,
33186,66234,20230608,80105,6-V-17-5-I,32252604,L3,120,
33186,66236,20230608,80253,3-V-25-10-I,32252604,L3,120,
33186,66237,20230608,80341,6-V-19-11-I,32252604,L3,120,
33186,66238,20230608,81157,3-H-23-11-I,32252604,L4,120,
33186,66239,20230608,103202,1-H-25-6-I,32252604,L3,120,
33186,66240,20230608,103525,1-H-12-2-I,32252604,L3,120,
33186,66241,20230608,103555,4-H-29-3-I,32252604,L3,120,
33186,66242,20230608,103620,4-H-33-9-I,32252604,L3,120,
33186,66243,20230608,204715,4-V-7-3-I,32252604,L4,120,
33186,66250,20230608,82233,5-H-12-9-I,32252604,L4,94,
33186,66259,20230608,83025,2-V-11-7-I,32252284,L3,120,
33186,66261,20230608,83237,3-V-16-5-I,32252284,L3,91,
33186,66289,20230608,94320,1-V-3-6-I,32252284,L4,120,
33186,66292,20230608,95027,4-V-22-6-I,31312514,L3,576,
33186,66400,20230608,142219,3-H-18-9-I,32140074,L4,72,
33186,66562,20230608,183651,UTKTR2,31686792,K1,14,
33186,66597,20230608,204624,6-H-25-6-I,32292907,L4,18,
33186,66599,20230608,204810,3-H-2-11-I,32292907,L4,18,
33186,66600,20230608,204912,5-H-2-3-I,32292907,L4,18,
33186,66601,20230608,205058,1-V-38-10-I,32252284,L4,120,
33186,66602,20230608,205159,4-V-8-10-I,32292907,L4,18,
33186,66604,20230608,205217,2-V-10-11-I,32292907,L4,18,
33186,66624,20230608,213919,4-H-25-14-I,32135228,L4,80,
33186,66629,20230608,214719,1-V-42-9-I,32135228,L4,80,
33186,66637,20230608,220816,6-H-10-3-I,32135228,L4,80,
33186,66652,20230608,225352,3-H-23-10-I,32135228,L4,80,
33186,66657,20230608,230230,5-H-27-14-I,32135228,L4,80,
33186,66660,20230608,231248,4-H-40-14-I,32292907,L4,18,
33186,66661,20230608,231326,4-H-41-14-I,32292907,L4,18,
33186,66664,20230608,231449,1-H-23-14-I,32292907,L4,18,
33186,839263,20230608,224440,2-H-19-14-I,3221,L4,0,
33186,839264,20230608,224855,6-V-37-11-I,3223,L4,0,
AD0V3,651056744,20230608,224023,3-H-26-5-I,31491865,L2,3840,2761501
AD6HC,15678901,20230608,122603,4-H-28-14-I,32382362,L5,240,234585
AD6HC,15682777,20230608,122602,3-H-8-6-I,32252515,L2,480,234584
AD6HF,204553422,20230608,82218,2-V-3-5-I,31312514,L3,576,574486
AD6HF,204553423,20230608,82218,4-H-6-1-I,31312514,L3,576,574486
AD6HF,204553424,20230608,82218,6-H-4-7-I,31312514,L3,576,574486
AD6HF,204553425,20230608,82218,1-V-5-5-I,31312514,L3,576,574486
AD6HF,204553426,20230608,82218,2-H-7-11-I,31312514,L3,576,574486
AD6NA,10671728,20230608,61354,1-V-12-6-I,31493386,L4,96,80794292
AD6NA,10671730,20230608,61354,5-H-38-14-I,31493386,L4,96,80794292
AD6NA,10671732,20230608,61354,3-H-2-12-I,31493386,L4,96,80794292
AD6NA,10671733,20230608,61354,2-H-27-12-I,31493386,L4,96,80794292
AD6NA,10671937,20230608,61354,5-H-44-14-I,31493386,L5,96,80794292
AD6NA,10672266,20230608,61201,5-V-22-6-I,31493387,L4,256,80794291
AD6NA,10672268,20230608,61201,5-H-42-14-I,31493387,L4,256,80794291
AD6NA,10672269,20230608,61201,3-H-21-10-I,31493387,L4,256,80794291
AD6NA,10672270,20230608,61201,2-H-28-12-I,31493387,L4,256,80794291
AD6NA,10672271,20230608,61201,6-V-13-9-I,31493387,L4,256,80794291
AE4FS,90340118,20230608,103702,6-H-7-14-I,32223208,L5,3360,10002325
AE4FS,90340124,20230608,103702,4-H-8-14-I,31499915,L5,592,10002325
AECGH,66232,20230608,75917,5-V-7-5-I,32252604,L3,120,
AECGH,66235,20230608,80202,3-V-6-9-I,32252604,L3,120,
AECGH,66603,20230608,205233,6-V-29-6-I,32292907,L4,18,
AECGH,66663,20230608,231351,5-H-46-14-I,32292907,L4,18,
AECGH,360101107,20230608,72912,4-H-30-1-I,32252284,L3,120,
AECGH,360101108,20230608,73003,3-V-19-13-I,32252284,L3,120,
AECGH,360206329,20230608,73547,6-H-1-5-I,32252284,L3,120,
AECGH,360314971,20230608,73752,2-H-17-6-I,32252604,L3,120,
AED6G,2811684,20230608,133030,2-V-15-5-I,31437539,L2,160,299805
AED6G,2811698,20230608,133030,2-V-26-4-I,31437539,L2,160,299805
AED6G,2811699,20230608,133030,3-V-16-3-I,31437539,L3,160,299805
AED6G,2811701,20230608,133030,6-H-26-5-I,31437539,L2,160,299805
AED6G,2811715,20230608,133030,5-H-27-10-I,31437539,L2,160,299805
AED6G,2811722,20230608,133030,4-V-24-6-I,31437539,L2,160,299805
AED6G,2811723,20230608,133030,5-H-1-12-I,31437539,L2,160,299805
AED6G,2811726,20230608,133030,2-H-26-11-I,31437539,L2,160,299805
AED6G,2811737,20230608,133030,6-H-24-8-I,31437539,L2,160,299805
AED6G,2811740,20230608,133030,3-H-22-11-I,32249216,L3,144,299805
AED6G,2811760,20230608,133030,5-V-11-4-I,31437539,L2,160,299807
AED6G,2811768,20230608,133030,2-V-24-10-I,31437539,L2,160,299807
AEENA,85698758,20230608,100210,2-V-6-4-Y,987808,K1,6000,2442220
AEJUB,10077542,20230608,225527,4-V-37-14-I,31665290,L5,1728,
AEJUB,10077559,20230608,232126,4-H-45-14-I,31665290,L4,1728,
AEJUB,10077576,20230608,225257,5-H-12-14-I,31665290,L5,1728,
AEJUB,10077593,20230608,231647,2-H-45-14-I,31665290,L5,1728,
BHD8A,396682263,20230608,112652,5-V-35-4-Y,31401195,K3,72,24538755
CHN08,43433998,20230608,81700,5-H-12-1-I,32135228,L3,80,
CHN08,43472909,20230608,212210,1-V-7-12-I,32135228,L4,80,
CHN08,43784464,20230608,225530,1-V-46-11-I,32135228,L4,80,
CHN08,43784472,20230608,220259,4-H-34-14-I,32135228,L4,80,
CHN08,43784476,20230608,215643,3-H-29-1-I,32135228,L4,80,
CHN08,43786990,20230608,212056,2-H-36-12-I,32135228,L4,80,
CHN08,43787451,20230608,212752,2-H-37-6-I,32135228,L4,80,
CHN08,43788025,20230608,212850,1-V-42-1-I,32135228,L4,80,
CHN08,43788032,20230608,212916,4-V-3-9-I,32135228,L4,80,
CHN08,43789570,20230608,222130,2-H-15-14-I,32135228,L4,80,
CHN08,43794797,20230608,221713,2-H-46-7-I,32135228,L4,80,
CHN08,43799174,20230608,221934,2-H-27-7-I,32135228,L4,80,
CHN08,43942029,20230608,225826,3-V-31-1-I,32135228,L4,80,
CHN08,43948187,20230608,84323,6-V-7-4-I,32135228,L3,80,
CHN08,43953500,20230608,84244,4-V-26-5-I,32135228,L3,80,
CHN08,43962860,20230608,212445,4-V-39-13-I,32135228,L4,80,
CHN08,43963935,20230608,214452,2-H-1-9-I,32135228,L4,80,
CHN08,43968806,20230608,225854,4-H-39-14-I,32135228,L4,80,
CHN08,43972094,20230608,221908,6-H-39-3-I,32135228,L4,80,
CHN08,43972389,20230608,84513,6-H-14-4-I,32135228,L3,80,
CHN08,43972391,20230608,213131,5-V-18-6-I,32135228,L4,80,
CHN08,44008672,20230608,212239,4-V-10-1-I,32135228,L4,80,
CHN08,44021283,20230608,212532,6-H-33-3-I,32135228,L4,80,
CHN08,44023165,20230608,213616,4-V-24-14-I,32135228,L4,80,
CHN08,44027821,20230608,213431,4-H-24-14-I,32135228,L4,80,
