B9401.KOLLIUTS,B9401.KOLLINR,B9401.SKAPDAT,B9401.SKAPTIM,B9401.FRDPLATS,B9403.ARTNR,B9401.EMBTYP,B9403.ARTANT,B9403.PACKNR
1621,131362,20150928,74326,1-V-1-8-I,31375834,L1,960,
1621,890083,20160114,84201,5-H-19-5-I,41,L3,170,
N718E,11982014,20160121,100934,6-H-16-9-I,1298578,K1,1200,76200018
N718E,11982017,20160121,100934,2-H-20-8-I,1298578,K1,600,76200018
N718E,11982026,20160121,100934,6-H-37-10-I,1298574,K1,600,76200018
N718E,11982296,20160121,100938,2-V-37-7-I,1298580,K1,1200,76200019
N718E,11982299,20160121,100938,6-H-18-13-I,1298580,K1,1200,76200019
N718E,11982302,20160121,100938,4-H-16-5-I,1298580,K1,600,76200019
1621,886962,20160223,130117,5-H-6-4-I,51,L2,0,
1621,886963,20160223,110138,6-H-13-1-I,51,L2,0,
N718E,12028486,20160310,104917,3-V-20-2-I,1298580,K1,300,76200068
N718E,12028489,20160310,104916,3-V-43-12-I,1298576,K1,600,76200068
1621,163340,20160311,204951,3-V-25-5-I,1298580,K1,1200,
N718E,12075862,20160428,103422,2-H-12-6-I,1298582,K1,835,76200126
N718E,12079477,20160503,121319,4-V-36-8-I,1298582,K1,1200,76200131
N718E,12087483,20160516,93343,4-V-22-3-I,1298582,K2,2400,76200141
1621,886964,20160609,82503,5-V-1-14-I,51,L5,0,
1621,892530,20160609,82347,2-H-2-14-I,51,L5,0,
N718E,12114557,20160614,94906,1-H-29-4-I,1298622,K1,1200,76200173
1621,892531,20160615,75345,6-V-2-7-I,51,L3,0,
1621,892533,20160615,103412,3-V-22-14-I,51,L5,0,
1621,892744,20160616,95715,6-H-3-5-I,51,L3,0,
1621,892745,20160617,103302,2-H-4-1-I,51,L4,0,
1621,892747,20160617,103334,1-H-15-7-I,51,L3,0,
1621,891824,20160620,95335,3-H-43-4-I,1298622,K1,510,
N718E,12158297,20160818,105326,2-V-12-8-I,1298616,K1,300,76200220
1621,892748,20160825,95303,3-V-5-14-I,51,L3,0,
DQA1A,12171130,20160901,100913,5-H-30-4-I,31375114,L3,9120,76200272
1621,894301,20161019,73937,3-H-2-14-I,51,L5,0,
N718E,12222748,20161024,94905,3-V-32-4-I,1298618,K1,600,76200285
N718E,12222753,20161024,94904,5-V-26-3-I,1298576,K1,300,76200285
N718E,12222756,20161024,94904,6-H-12-3-I,1298580,K1,1200,76200285
N718E,12222759,20161024,94904,3-H-43-5-I,1298580,K1,1200,76200285
N718E,12222762,20161024,94904,2-H-3-4-I,1298580,K1,1200,76200285
N718E,12222765,20161024,94904,6-H-16-9-Y,1298580,K1,300,76200285
N718E,12222768,20161024,94904,6-V-12-1-I,1298582,L4,600,76200285
N718E,12222770,20161024,94904,6-V-20-8-I,1298582,K1,300,76200285
1621,892750,20161102,75955,1-H-5-14-I,51,L5,0,
1621,895004,20161212,192114,1-H-10-5-I,26,K2,0,
1621,892751,20161229,94635,5-V-3-1-I,51,L4,0,
1621,892752,20170102,80448,5-V-2-8-I,51,L3,0,
D059E,12283170,20170102,80905,3-H-25-4-I,31460381,L2,1400,76200435
1621,892753,20170206,100309,3-V-1-4-I,51,L2,0,
1621,895624,20170206,100334,1-H-9-8-I,51,L3,0,
N718E,12353136,20170315,133307,3-H-8-12-I,1298584,K1,255,77200065
1621,30045,20170405,233717,4-V-27-4-I,1298584,K1,1200,
N718E,12381957,20170412,121313,4-V-10-10-I,1298586,L4,4200,77200086
N718E,12381961,20170412,121313,4-H-19-11-I,1298584,K1,1200,77200086
N718E,12389621,20170424,112107,6-V-9-14-I,1298584,K1,1200,77200093
1621,897222,20170626,95900,6-H-11-12-I,6763907,L4,14,
1621,855580,20170713,84907,4-H-9-4-I,51,L3,0,
1621,892749,20170713,84643,1-V-11-8-I,51,L3,0,
1621,892746,20170714,83458,2-V-18-6-I,51,L3,0,
1621,897769,20170817,132632,3-H-13-5-I,31430994,K1,400,
1621,897770,20170817,132610,5-V-14-12-I,31430994,K1,360,
1621,855576,20171023,102706,6-H-9-4-I,51,L3,0,
1621,898839,20171030,172211,3-H-27-1-I,26,L4,0,
1621,893347,20171107,191926,6-V-42-4-I,800,L2,0,
1621,899496,20171212,131507,5-V-35-4-I,8244801,K3,168,
1621,899498,20171212,132317,3-V-6-3-I,8244803,K3,112,
1621,899499,20171212,145345,5-H-11-10-I,8244801,K2,12,
1621,88097,20180223,143756,1-V-18-8-I,31430993,K1,310,
BQ3EA,2104071,20180306,154315,5-V-14-1-I,32255024,K2,288,201143
BQ3EA,2104072,20180306,154315,4-H-18-9-I,32255024,K2,288,201143
BQ3EA,2104073,20180306,154315,3-V-18-1-I,32255024,K2,288,201143
BQ3EA,2105266,20180309,163359,6-H-4-10-I,32255024,K2,288,201237
BQ3EA,2105267,20180309,163359,5-H-14-4-I,32255024,K2,288,201237
BQ3EA,2105268,20180309,163359,6-H-5-4-I,32255024,K2,288,201237
BQ3EA,2105269,20180309,163359,2-H-16-11-I,32255024,K2,288,201237
BQ3EA,2105270,20180309,163359,1-H-23-10-I,32255024,K2,288,201237
BQ3EA,2105271,20180309,163359,4-V-13-4-I,32255024,K2,288,201237
N718E,12664226,20180312,113020,4-H-24-12-I,1298588,L4,2700,78200053
1621,800941,20180314,94208,2-V-24-14-I,32255024,K2,288,
1621,800942,20180314,94155,2-V-31-1-I,32255024,K2,288,
1621,800943,20180314,94142,2-V-31-10-I,32255024,K2,288,
1621,800944,20180314,94133,5-H-13-13-I,32255024,K2,288,
1621,800945,20180314,94123,5-H-28-4-I,32255024,K2,288,
1621,800946,20180314,94113,1-H-26-1-I,32255024,K2,288,
1621,800947,20180314,94057,1-H-14-7-I,32255024,L1,312,
E510F,212873835,20180503,22715,2-V-27-12-I,31480233,K1,400,
1621,802423,20180523,235436,2-V-22-5-I,30777567,K1,4,
1621,895626,20180601,80001,3-V-9-14-I,51,L5,0,
1621,895627,20180601,80559,6-H-5-13-I,51,L2,0,
1621,895628,20180601,80432,2-H-1-6-I,51,L4,0,
1621,895629,20180601,80738,2-H-8-7-I,51,L3,0,
1621,803269,20180628,172734,6-H-17-13-I,31430292,L3,8,
1621,803503,20180807,102757,6-H-32-6-I,26,L2,0,
1621,803504,20180807,103014,6-V-32-6-I,26,L3,0,
1621,895625,20180912,103456,6-H-5-9-I,51,L3,0,
1621,803467,20180926,144751,4-H-27-1-I,30725325,L2,10,
R151A,19481896,20181116,130422,5-V-37-12-I,32255304,L1,125,72449319
R151A,19608299,20181206,123502,2-H-7-8-I,32255304,L1,90,72460056
1621,895630,20190308,80102,4-V-3-5-I,51,L3,0,
DQA1A,12927709,20190311,104104,5-H-11-9-I,31316104,L2,960,87883131
CBBNA,860863,20190325,113058,3-V-25-13-I,31280771,L2,16,133022
1621,807886,20190328,144511,6-V-40-4-I,31460381,K1,778,
1621,807899,20190403,121724,INKTR,42,L1,0,
CBBNA,869869,20190408,162324,4-H-12-7-I,31280771,L2,16,134266
CBBNA,883710,20190429,135909,3-V-22-9-I,31280771,L2,44,136427
1621,169722,20190506,131122,4-H-19-5-I,32263549,L1,160,
1621,170371,20190508,115532,5-H-35-9-I,31316104,K1,425,
1621,12359433,20190524,211354,4-H-32-7-I,1298586,L4,5400,
1621,179266,20190618,183139,6-H-7-4-I,32224531,K1,220,
1621,811127,20190703,144204,3-V-8-14-I,26,L5,0,
1621,895632,20190703,81111,6-V-8-3-I,51,L3,0,
1621,810798,20190815,134036,3-H-8-2-I,26,L2,0,
BQ6QB,22903569,20191007,93016,3-V-25-5-Y,30746566,K1,3649,324566
1621,3526,20191014,80425,5-V-4-12-I,31375844,L1,1440,
1621,814830,20191025,81825,6-V-14-13-I,26,K2,0,
1621,814687,20191028,150814,2-H-10-2-I,31367659,L2,30,
1621,815182,20191114,182829,4-V-24-2-I,26,L2,0,
1621,815872,20191210,125852,5-V-8-11-I,41,L4,0,
1621,815873,20191210,130112,2-H-11-12-I,41,L4,0,
1621,815874,20191210,130202,5-V-10-1-I,41,L4,0,
1621,815875,20191210,130239,5-H-16-3-I,41,L4,0,
1621,895631,20191211,125051,2-H-10-5-I,51,L3,0,
1621,816006,20191220,102239,4-H-5-14-I,26,L5,0,
C9U3A,101075520,20200213,143218,1-V-16-10-Y,31316006,K2,6992,80288482
1621,1111054,20200312,131106,3-H-29-9-I,32252283,L1,27,
1621,42952,20200324,142042,1-H-15-1-Y,509685,K1,49,
